Name,Latitude,Longitude
Cafe Coffee Day,22.5711605918,88.4343107790
Cafe Coffee Day,22.6973150738,88.3899651468
Cafe Coffee Day,22.5762520998,88.4306814149
Cafe Coffee Day,22.5769805483,88.4339597449
Cafe Coffee Day,22.5284326290,88.3588270471
Cafe Coffee Day,22.5513048246,88.3524226025
Cafe Coffee Day,22.4597096685,88.3824526146
Cafe Coffee Day,22.6243093718,88.3532262594
Cafe Coffee Day,22.5152007552,88.3249966800
Cafe Coffee Day,22.5910506452,88.3638488129
Cafe Coffee Day,22.5771365776,88.4831055254
Cafe Coffee Day,22.6031170128,88.4045198187
Cafe Coffee Day,22.6606781598,88.4419027716
Cafe Coffee Day,22.6212885468,88.4014815465
Cafe Coffee Day,22.5697132268,88.4316369519
Cafe Coffee Day,22.6226762591,88.4506823123
Cafe Coffee Day,22.5128375661,88.3460215107
Cafe Coffee Day,22.5943863207,88.4209413081
Cafe Coffee Day,22.5457488000,88.3495466000
Cafe Coffee Day,22.5254716412,88.3447803184
Cafe Coffee Day,22.6315606000,88.4352298000
Cafe Coffee Day,22.7040628377,88.4718576819
Cafe Coffee Day,22.5695249909,88.3905223757
Cafe Coffee Day,22.5690890750,88.4332868457
Cafe Coffee Day,22.5779684212,88.4006088227
Cafe Coffee Day,22.5784597236,88.4625906497
Cafe Coffee Day,22.6162537941,88.3790904656
Cafe Coffee Day,22.5781111375,88.3904134110
Cafe Coffee Day,22.5696023906,88.3450646326
Cafe Coffee Day,22.7126260434,88.4754521772
Cafe Coffee Day,22.6155673352,88.4125074372
Cafe Coffee Day,22.5434961088,88.3580542356
Cafe Coffee Day,22.5682029975,88.3567671105
Cafe Coffee Day,22.5764505428,88.3741347492
Cafe Coffee Day,22.5164740112,88.3668582514
Cafe Coffee Day,22.4904496882,88.3722166345
Cafe Coffee Day,22.5647911434,88.3228680119
Cafe Coffee Day,22.5938241895,88.3753062040
Cafe Coffee Day,22.5434487312,88.3580636233
Cafe Coffee Day,22.6091402051,88.3999369293
Cafe Coffee Day,22.5012050073,88.3483583853
Cafe Coffee Day,22.7008612792,88.3766228333
Cafe Coffee Day,22.4905426210,88.3722867072
Cafe Coffee Day,22.5879133155,88.4081123024
Cafe Coffee Day,22.4895689918,88.3611803502
Cafe Coffee Day,22.5209211782,88.3630307391
Cafe Coffee Day,22.5555542550,88.3502922580
Cafe Coffee Day,22.5949660934,88.4192810208
Cafe Coffee Day,22.5709581164,88.4202435985
Cafe Coffee Day,22.4914245502,88.3180464059
Cafe Coffee Day,22.4737972901,88.3621925488
Cafe Coffee Day,22.5613830000,88.4904620000
Cafe Coffee Day,22.4833528448,88.3907550573
Cafe Coffee Day,22.5152472133,88.3582852408
Cafe Coffee Day,22.5010284485,88.3502121270
Cafe Coffee Day,22.5953090652,88.3672226965
Cafe Coffee Day,22.6304523000,88.4337342000
Cafe Coffee Day,22.6110244877,88.4081210196
Cafe Coffee Day,22.5456215798,88.3528323099
Cafe Coffee Day,22.5953907839,88.4061918408
Cafe Coffee Day,22.5211896947,88.3662728593
Cafe Coffee Day,22.6210709805,88.3487214893
Cafe Coffee Day,22.5146488318,88.3465686813
Cafe Coffee Day,22.4977713631,88.3563483506
Cafe Coffee Day,22.5927964988,88.4202959016
Cafe Coffee Day,22.6213890900,88.4014410100
Cafe Coffee Day,22.5255952105,88.3546106145
Cafe Coffee Day,22.5629774393,88.3529292047
Cafe Coffee Day,22.5733673684,88.4135350585
Cafe Coffee Day,22.6073447271,88.4105970338
Cafe Coffee Day,22.5735543608,88.4136215597
Cafe Coffee Day,22.5820854624,88.4498246759
Cafe Coffee Day,22.5714853567,88.4334705770
Cafe Coffee Day,22.4749981216,88.4009310231
Cafe Coffee Day,22.5776947524,88.4864549339
Cafe Coffee Day,22.5385690000,88.3518120000
Cafe Coffee Day,22.5474178622,88.3552432805
Cafe Coffee Day,22.5889970721,88.4089803323
Cafe Coffee Day,22.5447855156,88.3553908020
Cafe Coffee Day,22.5672085529,88.3541117236
Cafe Coffee Day,22.5682005207,88.3566977084
Cafe Coffee Day,22.5025146327,88.3572254330
Cafe Coffee Day,22.4937837685,88.4006319568
Cafe Coffee Day,22.5471069748,88.3552228287
Cafe Coffee Day,22.5331785627,88.3460714668
Cafe Coffee Day,22.5779789469,88.4005427733
Cafe Coffee Day,22.4854996868,88.2866283506
Cafe Coffee Day,22.5856392872,88.4903800115
Cafe Coffee Day,22.6224444589,88.3529228345
Cafe Coffee Day,22.5154438858,88.3543916792
Cafe Coffee Day,22.5257677118,88.3527481556
Cafe Coffee Day,22.5769458751,88.4120749310
Cafe Coffee Day,22.5458352399,88.3537274972
Cafe Coffee Day,22.6991610298,88.4694688395
Cafe Coffee Day,22.4398694999,88.3973314986
Cafe Coffee Day,22.5382829304,88.3515314385
Cafe Coffee Day,22.4934659455,88.3892033994
Cafe Coffee Day,22.5136267457,88.3996465802
Cafe Coffee Day,22.5162194229,88.3490175381
Kathleen,22.5606633683,88.3517292514
Kathleen,22.4370730313,88.3993049338
Kathleen,22.5410847866,88.3542579040
Kathleen,22.6327138546,88.4148144722
Kathleen,22.5416657126,88.3485360816
Kathleen,22.5589010072,88.3547876403
Kathleen,22.5849393643,88.4505270794
Kathleen,22.5677732695,88.3526059985
Kathleen,22.4867763140,88.3510241658
Kathleen,22.6020154148,88.4054810554
Kathleen,22.5864140000,88.3873650000
Kathleen,22.4961187850,88.3697342500
